,QueryLabel,JoinSize
871,871,27959701
872,872,53915
873,873,4501590
874,874,130650
875,875,1504602
876,876,202920
877,877,90812
878,878,220
879,879,11222
880,880,6158827704
881,881,16974
882,882,95697536
883,883,477796
884,884,2805
885,885,47110
886,886,1429981
887,887,855960144
888,888,7173609623
889,889,2604
890,890,212573
891,891,2775
892,892,33447
893,893,151093
894,894,7209924
895,895,4582278
896,896,25365
897,897,32012217
898,898,1623
899,899,517836
900,900,699782
901,901,3333411
902,902,50398707
903,903,9742
904,904,375
905,905,1279044537
906,906,343962
907,907,1382057
908,908,2
909,909,22644
910,910,4144
911,911,179496
912,912,9768
913,913,69463
914,914,2970
915,915,137970
916,916,441052
917,917,2240
918,918,133788040
919,919,996880
920,920,191313
921,921,231705774
922,922,69372
923,923,108757563
924,924,772249213
925,925,726
926,926,11501
927,927,67815
928,928,22120
929,929,42
930,930,41144
931,931,11391027
932,932,42945
933,933,175942
934,934,39296392
935,935,26604
936,936,1654
937,937,5101948
938,938,231
939,939,503
940,940,14286000
941,941,37
942,942,384426
943,943,84
944,944,34526
945,945,46
946,946,4953
947,947,1191
948,948,4
949,949,10334
950,950,15276
951,951,106248
952,952,1
953,953,1
954,954,44930
955,955,1
956,956,9
957,957,132
958,958,17622
959,959,4422
960,960,735
961,961,4426965
962,962,7
963,963,36296
964,964,77803274
965,965,38060
966,966,6525
967,967,108
968,968,42
969,969,1488
970,970,258
971,971,188
972,972,34216
973,973,130
974,974,49329
975,975,45609
976,976,27
977,977,3279
978,978,159
979,979,1101
980,980,560
981,981,10
982,982,657412
983,983,53679
984,984,4707
985,985,1164
986,986,6127
987,987,62
988,988,65
989,989,1449836
990,990,43698
991,991,391
992,992,1185583
993,993,36
994,994,95550
995,995,1454
996,996,723
997,997,22
998,998,12
999,999,4749
